journal1,journal2,weight
Journal of Biological Chemistry,Journal of Cell Science,420
PNAS,The Journal of Neuroscience,420
EMBO J,Genomics,420
Mol Cell Biol,Nat Genet,419
Molecular Biology and Evolution,Nature,415
Biochemical and Biophysical Research Communications,FEBS Letters,414
FEBS Lett,Genomics,413
Genetics,Science,413
Journal of Biological Chemistry,The Journal of Clinical Investigation,410
Mol Cell Biol,Oncogene,409
Journal of Molecular Biology,Science,408
Nat Genet,Nucleic Acids Res,408
Nature,The Journal of Cell Biology,407
Nature,The Journal of Neuroscience,407
Cytogenet Cell Genet,PNAS,405
Genome Res,The Biochemical Journal,405
Molecular Biology and Evolution,Science,403
Journal of Immunology,PNAS,403
Cell,Neuron,401
Nature,Proc Natl Acad Sci U S A,401
BMJ,JAMA,400
Gene,The Biochemical Journal,400
Cell,The Journal of Cell Biology,400
Am J Hum Genet,Journal of Biological Chemistry,398
Proceedings of the Royal Society B Biological Sciences,Science,398
Mol Cell,Nature,397
Blood,Cell,397
Biochim Biophys Acta,Genome Res,396
EMBO J,Science,396
Journal of Vertebrate Paleontology,Nature,396
Journal of Biological Chemistry,Structure,395
PNAS,Structure,393
Mol Cell Biol,Science,393
Development,PNAS,391
Cancer Research,Nature,391
Nature,Nature Biotechnology,391
Cell,FEBS Letters,389
Human Molecular Genetics,Nature,389
Biochemical and Biophysical Research Communications,Mol Cell Biol,388
Monthly Notices of the Royal Astronomical Society,Nature,388
Current Biology,Journal of Biological Chemistry,387
Genome Res,Hum Mol Genet,384
Journal of Biological Chemistry,Mol Biol Cell,383
Lancet,New England Journal of Medicine,383
Biochemical and Biophysical Research Communications,Blood,382
Nature,Nature Medicine,382
FEBS Letters,Science,380
Science,The Astrophysical Journal,380
Cytogenet Cell Genet,Journal of Biological Chemistry,380
Genome Res,J Cell Biol,380
Journal of the American Chemical Society,PNAS,379
Genome Biology,Nature,378
Genome Research,Nucleic Acids Research,377
Journal of Virology,PNAS,376
Mol Syst Biol,PNAS,375
PLoS ONE,Proceedings of the Royal Society B Biological Sciences,375
J Mol Biol,Nature,375
Cell,Nucleic Acids Res,374
PNAS,The Journal of Clinical Investigation,373
Development,Nature,372
Genes  Development,Science,372
Hum Mol Genet,Nat Genet,372
Gene,Oncogene,372
Acta Ophthalmologica,Nature,372
Nature,The New England Journal of Medicine,371
PNAS,Proceedings of the Royal Society B Biological Sciences,370
Molecular and Cellular Biology,Nucleic Acids Research,370
Blood,Science,370
BMJ,The Cochrane Database of Systematic Reviews,369
Curr Biol,Journal of Biological Chemistry,369
Genes Dev,Nature,369
Cancer Res,Nature,368
Molecular Cell,Science,368
Entertainment Weekly,Rolling Stone,368
Acta Ophthalmologica,Cell,366
Nat Biotechnol,Nature,365
Hum Genet,PNAS,365
Nature Biotechnology,PNAS,364
Biochimica et Biophysica Acta,Science,363
Nature Communications,Scientific Reports,362
Geophysical Research Letters,Science,362
Geophysical Research Letters,Nature,360
Journal of Geophysical Research,Science,360
Astronomy Letters,Astronomy and Astrophysics,359
PNAS,The New England Journal of Medicine,358
Biochemical and Biophysical Research Communications,Biochimica et Biophysica Acta,355
Journal of Vertebrate Paleontology,Zoological Journal of the Linnean Society,354
Cell,Mol Cell,354
Cell,Genes Dev,353
Gene,Mol Cell Biol,352
Science,The New England Journal of Medicine,351
Angewandte Chemie International Edition,Journal of the American Chemical Society,349
Biochemical and Biophysical Research Communications,EMBO J,349
Am J Hum Genet,Nat Genet,348
Nucleic Acids Research,The EMBO Journal,346
Biochemical and Biophysical Research Communications,The EMBO Journal,346
Nucleic Acids Res,Science,346
EMBO J,Nat Genet,345
