,journal1,journal2,weight
218,Genome Res,Oncogene,458
219,Science,The Biochemical Journal,456
220,Nature,Proceedings of the Royal Society B Biological Sciences,456
221,Molecular Biology and Evolution,PNAS,456
222,DNA Res,Nature,456
223,Journal of Biological Chemistry,Neuron,452
224,Mol Biol Cell,PNAS,451
225,Nat Genet,Science,450
226,Biochemistry,Genomics,449
227,Genetics,PNAS,448
228,Science,Scientific American,446
229,J Cell Biol,Nature,445
230,J Immunol,PNAS,444
231,Genetics,Nature,443
232,Biochemistry,The Biochemical Journal,440
233,J Cell Sci,Journal of Biological Chemistry,439
234,Curr Biol,Nature,437
235,Biochemical and Biophysical Research Communications,PLoS ONE,436
236,Journal of Biological Chemistry,Journal of Immunology,435
237,Biochemical and Biophysical Research Communications,FEBS Lett,434
238,Molecular and Cellular Biology,Science,432
239,American Journal of Human Genetics,Journal of Biological Chemistry,431
240,J Immunol,Journal of Biological Chemistry,431
241,Biochim Biophys Acta,Nature,430
242,Genome Res,Nat Biotechnol,429
243,Eur J Biochem,PNAS,426
244,American Journal of Human Genetics,Nature,426
245,Genes Dev,Journal of Biological Chemistry,423
246,Cell,Current Biology,421
247,Journal of Biological Chemistry,Journal of Cell Science,420
248,PNAS,The Journal of Neuroscience,420
249,EMBO J,Genomics,420
250,Mol Cell Biol,Nat Genet,419
251,Molecular Biology and Evolution,Nature,415
252,Biochemical and Biophysical Research Communications,FEBS Letters,414
253,FEBS Lett,Genomics,413
254,Genetics,Science,413
255,Journal of Biological Chemistry,The Journal of Clinical Investigation,410
256,Mol Cell Biol,Oncogene,409
257,Journal of Molecular Biology,Science,408
258,Nat Genet,Nucleic Acids Res,408
259,Nature,The Journal of Cell Biology,407
260,Nature,The Journal of Neuroscience,407
261,Cytogenet Cell Genet,PNAS,405
262,Genome Res,The Biochemical Journal,405
263,Molecular Biology and Evolution,Science,403
264,Journal of Immunology,PNAS,403
265,Cell,Neuron,401
266,Nature,Proc Natl Acad Sci U S A,401
267,BMJ,JAMA,400
268,Gene,The Biochemical Journal,400
269,Cell,The Journal of Cell Biology,400
270,Am J Hum Genet,Journal of Biological Chemistry,398
271,Proceedings of the Royal Society B Biological Sciences,Science,398
272,Mol Cell,Nature,397
273,Blood,Cell,397
274,Biochim Biophys Acta,Genome Res,396
275,EMBO J,Science,396
276,Journal of Vertebrate Paleontology,Nature,396
277,Journal of Biological Chemistry,Structure,395
278,PNAS,Structure,393
279,Mol Cell Biol,Science,393
280,Development,PNAS,391
281,Cancer Research,Nature,391
282,Nature,Nature Biotechnology,391
283,Cell,FEBS Letters,389
284,Human Molecular Genetics,Nature,389
285,Biochemical and Biophysical Research Communications,Mol Cell Biol,388
286,Monthly Notices of the Royal Astronomical Society,Nature,388
287,Current Biology,Journal of Biological Chemistry,387
288,Genome Res,Hum Mol Genet,384
289,Journal of Biological Chemistry,Mol Biol Cell,383
290,Lancet,New England Journal of Medicine,383
291,Biochemical and Biophysical Research Communications,Blood,382
292,Nature,Nature Medicine,382
293,FEBS Letters,Science,380
294,Science,The Astrophysical Journal,380
295,Cytogenet Cell Genet,Journal of Biological Chemistry,380
296,Genome Res,J Cell Biol,380
297,Journal of the American Chemical Society,PNAS,379
298,Genome Biology,Nature,378
299,Genome Research,Nucleic Acids Research,377
300,Journal of Virology,PNAS,376
301,Mol Syst Biol,PNAS,375
302,PLoS ONE,Proceedings of the Royal Society B Biological Sciences,375
303,J Mol Biol,Nature,375
304,Cell,Nucleic Acids Res,374
305,PNAS,The Journal of Clinical Investigation,373
306,Development,Nature,372
307,Genes  Development,Science,372
308,Hum Mol Genet,Nat Genet,372
309,Gene,Oncogene,372
310,Acta Ophthalmologica,Nature,372
311,Nature,The New England Journal of Medicine,371
312,PNAS,Proceedings of the Royal Society B Biological Sciences,370
313,Molecular and Cellular Biology,Nucleic Acids Research,370
314,Blood,Science,370
315,BMJ,The Cochrane Database of Systematic Reviews,369
316,Curr Biol,Journal of Biological Chemistry,369
317,Genes Dev,Nature,369
318,Cancer Res,Nature,368
319,Molecular Cell,Science,368
320,Entertainment Weekly,Rolling Stone,368
321,Acta Ophthalmologica,Cell,366
322,Nat Biotechnol,Nature,365
323,Hum Genet,PNAS,365
324,Nature Biotechnology,PNAS,364
325,Biochimica et Biophysica Acta,Science,363
326,Nature Communications,Scientific Reports,362
327,Geophysical Research Letters,Science,362
328,Geophysical Research Letters,Nature,360
329,Journal of Geophysical Research,Science,360
330,Astronomy Letters,Astronomy and Astrophysics,359
331,PNAS,The New England Journal of Medicine,358
332,Biochemical and Biophysical Research Communications,Biochimica et Biophysica Acta,355
333,Journal of Vertebrate Paleontology,Zoological Journal of the Linnean Society,354
334,Cell,Mol Cell,354
335,Cell,Genes Dev,353
336,Gene,Mol Cell Biol,352
337,Science,The New England Journal of Medicine,351
338,Angewandte Chemie International Edition,Journal of the American Chemical Society,349
339,Biochemical and Biophysical Research Communications,EMBO J,349
340,Am J Hum Genet,Nat Genet,348
341,Nucleic Acids Research,The EMBO Journal,346
342,Biochemical and Biophysical Research Communications,The EMBO Journal,346
343,Nucleic Acids Res,Science,346
344,EMBO J,Nat Genet,345
345,Journal of Biological Chemistry,Molecular Biology of the Cell,345
346,Journal of Geophysical Research,Nature,344
347,Journal of Cell Science,PNAS,344
348,Genome Research,Genomics,344
349,Cell,J Cell Biol,342
350,American Journal of Human Genetics,Science,340
351,FEBS Lett,Nat Genet,340
352,Physical Review B,Physical Review Letters,338
353,Molecular and Cellular Biology,Oncogene,338
354,Biochemical and Biophysical Research Communications,Molecular and Cellular Biology,337
