source,target,weight
journal of paleontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,2340
plos genetics,pnas,2327
genome res,nucleic acids res,2323
nature,plos genetics,2318
genome biology,nature,2314
paleontological journal,peerj,2309
molecular biology and evolution,science,2300
alcheringa an australasian journal of palaeontology,paleontological journal,2298
current biology,journal of biological chemistry,2294
palaeogeography palaeoclimatology palaeoecology,science,2294
cretaceous research,fossil record,2291
cell,mol cell biol,2289
historical biology an international journal of paleobiology,palaeogeography palaeoclimatology palaeoecology,2280
nature geoscience,science,2273
cell,genome res,2271
peerj,zootaxa,2264
hearing research,the journal of the acoustical society of america,2261
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,paleontological journal,2260
pnas,science advances,2246
journal of paleontology,nature communications,2245
nature,science advances,2240
plos biology,pnas,2233
palaeontologia electronica,scientific reports,2231
nature,palaeogeography palaeoclimatology palaeoecology,2224
journal of vertebrate paleontology,nature communications,2221
plos one,royal society open science,2218
peerj,proceedings of the royal society b biological sciences,2216
blood,nature,2212
russian history,the slavonic and east european review,2209
cochrane database of systematic reviews,the cochrane database of systematic reviews,2208
nature biotechnology,science,2206
journal of biological chemistry,molecular biology of the cell,2201
russian review,the journal of modern history,2198
proceedings of the royal society b biological sciences,science,2197
embo j,nature,2193
icarus,the astronomical journal,2191
cretaceous research,review of palaeobotany and palynology,2188
acta palaeontologica polonica,palaeontology,2180
neuron,science,2175
eur j biochem,journal of biological chemistry,2161
american journal of physical anthropology,nature,2160
geology,pnas,2157
biochimica et biophysica acta,pnas,2156
cretaceous research,palz,2154
peerj,royal society open science,2151
nature,the astronomical journal,2150
genetics,science,2147
mol cell biol,oncogene,2138
cretaceous research,journal of the botanical research institute of texas,2136
palaeontology,zootaxa,2136
pnas,the journal of cell biology,2134
palaeontologia electronica,zootaxa,2124
nature,nature geoscience,2117
journal of biological chemistry,nature cell biology,2112
cancer research,pnas,2108
nature communications,peerj,2103
nature,scientific american,2102
royal society open science,scientific reports,2082
systematic entomology,zootaxa,2080
physical review,physical review letters,2072
american journal of physical anthropology,pnas,2071
journal of school counseling,professional school counseling,2068
counselor education and supervision,professional school counseling,2068
