source,target,weight
nature,mol biol cell,659
pnas,neuroscience,659
scientific reports,bulletin of geosciences,658
journal of biological chemistry,nature immunology,658
cell,febs lett,658
acta palaeontologica polonica,biology letters,658
journal of paleontology,nature geoscience,657
european journal of human genetics,forensic science international,657
journal of systematic palaeontology,palaeoworld,656
pnas,palaeoworld,656
pnas,hum genet,656
journal of biological chemistry,journal of medicinal chemistry,656
nature,the journal of experimental biology,655
plos one,nature biotechnology,655
pnas,ecology,655
science,philosophical transactions of the royal society b biological sciences,654
nature,ecology letters,654
journal of paleontology,ameghiniana,654
pnas,alcheringa an australasian journal of palaeontology,653
nature,nature news,653
cell,cell reports,651
zootaxa,the canadian entomologist,651
journal of biological chemistry,clin cancer res,651
journal of biological chemistry,carcinogenesis,650
lancet,archives of internal medicine,650
journal of biological chemistry,embo rep,650
journal of biological chemistry,gastroenterology,650
journal of human evolution,journal of archaeological science,650
scientific reports,anais da academia brasileira de cixeancias,650
plos one,annales de palxe9ontologie,650
nature,cold spring harbor perspectives in biology,649
biochemical and biophysical research communications,the journal of cell biology,649
peerj,anais da academia brasileira de cixeancias,649
cell,elife,648
science,chemical reviews,648
the cochrane database of systematic reviews,thorax,647
journal of systematic palaeontology,ameghiniana,647
brain,neuropsychologia,647
journal of biological chemistry,nature reviews cancer,647
plos one,journal of molecular biology,647
pnas,the journal of the acoustical society of america,647
acta palaeontologica polonica,geobios,646
embo j,j cell biol,646
the cochrane database of systematic reviews,british medical journal,645
science,conservation biology,645
scientific reports,lethaia,644
historical biology an international journal of paleobiology,earth and environmental science transactions of the royal society of edinburgh,643
mol cell biol,the biochemical journal,643
cretaceous research,journal of african earth sciences,643
journal of biological chemistry,trends in cell biology,643
science,journal of cell science,643
journal of mammalogy,mammalian species,642
plos one,journal of bacteriology,642
science,systematic biology,642
journal of personality and social psychology,journal of research in personality,642
plos one,acta geologica sinica english edition,642
cretaceous research,palaeobiodiversity and palaeoenvironments,641
nature,current opinion in genetics  development,641
nature genetics,genome biology,640
journal of biological chemistry,glycobiology,640
j spinal disord,spine,640
molecular and cellular biology,genome research,639
nature,cancer cell,639
current biology,palaeontologia electronica,639
nature,proceedings biological sciences,639
plos one,genetics,638
pnas,review of palaeobotany and palynology,638
cell,acta ophthalmologica,638
paleontological journal,geodiversitas,638
plos one,gondwana research,637
plos one,human molecular genetics,636
nature,the american journal of human genetics,635
journal of systematic palaeontology,american museum novitates,635
journal of vertebrate paleontology,lethaia,635
journal of immunology,european journal of immunology,635
newsletter for birdwatchers,journal of the bombay natural history society,634
plos one,journal of experimental biology,634
pnas,infection and immunity,634
palaeogeography palaeoclimatology palaeoecology,geological magazine,634
lancet,american family physician,633
j am chem soc,angew chem int ed,633
journal of biological chemistry,genome biology,633
palaeontology,geobios,633
science,new england journal of medicine,633
genetics,plos genetics,632
russian history,soviet studies,632
nature,plos computational biology,632
journal of biological chemistry,american journal of physiology heart and circulatory physiology,631
peerj,canadian journal of earth sciences,631
journal of paleontology,paleontological research,631
nature,trends in neurosciences,631
the slavonic and east european review,canadian slavonic papers  revue canadienne des slavistes,631
the cochrane database of systematic reviews,american journal of obstetrics and gynecology,631
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,bulletin of geosciences,631
nature,integrative and comparative biology,630
proceedings of the royal society b biological sciences,paleobiology,630
pnas,geobios,629
science,curr biol,629
journal of the american chemical society,analytical chemistry,628
cell,molecular microbiology,628
scientific reports,geodiversitas,627
journal of vertebrate paleontology,the science of nature,627
palaeontologia electronica,papers in palaeontology,627
bulletin of volcanology,journal of volcanology and geothermal research,627
historical biology an international journal of paleobiology,geological magazine,627
journal of biological chemistry,journal of lipid research,627
nature,journal of evolutionary biology,626
nature,nature nanotechnology,626
pnas,the anatomical record,626
science,cell stem cell,626
palaeogeography palaeoclimatology palaeoecology,lethaia,625
nucleic acids research,nature reviews genetics,625
journal of vertebrate paleontology,historical biology,625
american journal of human genetics,human mutation,625
pnas,cellular and molecular life sciences,625
physical review letters,physics reports,625
nature,analytical chemistry,624
nature,journal of neuroscience,624
journal of vertebrate paleontology,rivista italiana di paleontologia e stratigrafia,623
journal of systematic palaeontology,earth and environmental science transactions of the royal society of edinburgh,623
european journal of human genetics,the american journal of human genetics,623
oncogene,nature genetics,623
