,journal1,journal2,weight
254,journal of biological chemistry,mol cell,3004
255,journal of vertebrate paleontology,proceedings of the royal society b biological sciences,3004
256,molecular biology and evolution,pnas,2999
257,cell,nucleic acids research,2989
258,cretaceous research,earth and environmental science transactions of the royal society of edinburgh,2984
259,oncogene,oncogene,2972
260,cretaceous research,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,2961
261,journal of paleontology,peerj,2961
262,cretaceous research,systematic entomology,2953
263,journal of vertebrate paleontology,palaeogeography palaeoclimatology palaeoecology,2952
264,the cochrane database of systematic reviews,the new england journal of medicine,2936
265,folklore,man,2935
266,acta palaeontologica polonica,scientific reports,2933
267,mol cell biol,nature,2933
268,geology,science,2927
269,biochemical and biophysical research communications,pnas,2927
270,the astrophysical journal,the astrophysical journal letters,2923
271,nature,plos biology,2922
272,palaeogeography palaeoclimatology palaeoecology,pnas,2921
273,lpsn,wwwuniprotorg,2919
274,journal of systematic palaeontology,scientific reports,2908
275,palaeontology,plos one,2897
276,genes  development,pnas,2897
277,europeasia studies,slavic review,2891
278,russian review,the slavonic and east european review,2886
279,paleontological journal,paleontological journal,2879
280,cretaceous research,palaeodiversity,2868
281,pnas,proceedings of the royal society b biological sciences,2861
282,journal of vertebrate paleontology,vertebrata palasiatica,2855
283,icarus,the astrophysical journal,2853
284,journal of paleontology,palaeogeography palaeoclimatology palaeoecology,2842
285,palaeogeography palaeoclimatology palaeoecology,plos one,2841
286,mol cell biol,mol cell biol,2838
287,cell,the embo journal,2831
288,astrophysical journal,the astrophysical journal,2831
289,journal of the american chemical society,science,2818
290,nature,nature biotechnology,2801
291,cell,genes  development,2798
292,cell,molecular cell,2798
293,molecular biology and evolution,nature,2782
294,acta palaeontologica polonica,zootaxa,2780
295,bioinformatics,nucleic acids res,2760
296,jama,lancet,2759
297,genetics,pnas,2754
298,molecular cell,nature,2753
299,proceedings of the royal society b biological sciences,scientific reports,2745
300,peerj,zoological journal of the linnean society,2740
301,journal of biological chemistry,neuron,2738
302,physical review b,physical review b,2720
303,cretaceous research,palaeogeography palaeoclimatology palaeoecology,2701
304,palaeontology,scientific reports,2698
305,comptes rendus palevol,cretaceous research,2683
306,genetics,nature,2679
307,acta palaeontologica polonica,paleontological journal,2676
308,journal of vertebrate paleontology,royal society open science,2671
309,genes  development,nature,2665
310,nature,proceedings of the royal society b biological sciences,2664
311,historical biology an international journal of paleobiology,journal of systematic palaeontology,2662
312,american journal of physical anthropology,journal of human evolution,2661
313,geophysical research letters,nature,2659
314,bioinformatics,bmc bioinformatics,2656
315,molecular cell,pnas,2654
316,nature,neuron,2649
317,molecular and cellular biology,molecular and cellular biology,2640
318,journal of geophysical research,nature,2639
319,embo j,mol cell biol,2635
320,genome research,journal of biological chemistry,2633
321,pnas,the journal of neuroscience,2627
322,journal of systematic palaeontology,peerj,2626
323,journal of paleontology,pnas,2620
324,neuron,pnas,2615
325,monthly notices of the royal astronomical society,nature,2598
326,j immunol,journal of biological chemistry,2590
327,genome res,genomics,2585
328,paleontological journal,scientific reports,2578
329,journal of mammalian evolution,journal of vertebrate paleontology,2571
330,lloyds list,new lloyds list,2570
331,palaeontology,peerj,2557
332,biochemistry,nature,2549
333,peerj,pnas,2532
334,journal of paleontology,nature,2530
335,soaring,soaring,2528
