,journal1,journal2,weight
5034,biological psychiatry,journal of affective disorders,313
5035,american journal of public health,bmj,313
5036,new mexico museum of natural history and science bulletin,palaeontology,313
5037,genome res,mamm genome,313
5038,biological reviews,journal of vertebrate paleontology,313
5039,alcheringa an australasian journal of palaeontology,annales zoologici,313
5040,gene,molecular cell,313
5041,animal behaviour,applied animal behaviour science,313
5042,european respiratory review,the cochrane database of systematic reviews,313
5043,geology,journal of south american earth sciences,313
5044,personality and social psychology bulletin,psychological bulletin,312
5045,infection and immunity,science,312
5046,american journal of human biology,european journal of human genetics,312
5047,basteria,basteria,312
5048,personality and individual differences,plos one,312
5049,ccm magazine,ccm magazine,312
5050,nature,phys rev b,312
5051,cancer,pnas,312
5052,pnas,trends in ecology and evolution,312
5053,cancer cell,oncogene,312
5054,journal of molecular biology,structure,312
5055,international journal of plant sciences,scientific reports,312
5056,cretaceous research,folia heyrovskyana series a,312
5057,j am chem soc,journal of biological chemistry,312
5058,general relativity and gravitation,physical review letters,312
5059,dna res,genomics,312
5060,the journal of experimental medicine,the journal of experimental medicine,312
5061,journal of clinical investigation,pnas,312
5062,energy policy,energy policy,311
5063,biochemical and biophysical research communications,the journal of clinical investigation,311
5064,archives of biochemistry and biophysics,biochimica et biophysica acta,311
5065,papers in palaeontology,papers in palaeontology,311
5066,biochim biophys acta,embo j,311
5067,nature reviews immunology,pnas,311
5068,dna repair amst,journal of biological chemistry,311
5069,international journal of astrobiology,the astrophysical journal,311
5070,journal of zoology,journal of zoology,311
5071,evolution,journal of theoretical biology,311
5072,the new york times,the washington post,311
5073,global and planetary change,pnas,311
5074,nano letters,the journal of physical chemistry letters,311
5075,nature,reviews of geophysics,311
5076,proceedings of the royal society b biological sciences,review of palaeobotany and palynology,311
5077,cancer,lancet,311
5078,nature,zeitschrift fxfcr physik,311
5079,global biogeochemical cycles,nature,311
5080,journal of paleontology,palaeontographica abteilung a,311
5081,amusement today,amusement today,311
5082,taxon,taxon,311
5083,journal of neurochemistry,science,311
5084,nature,trends in biotechnology,311
5085,european journal of pharmacology,pnas,310
5086,gondwana research,palaeontologia electronica,310
5087,nature,the science of nature,310
5088,biology letters,molecular phylogenetics and evolution,310
5089,canadian journal of zoology,marine mammal science,310
5090,genes dev,nat genet,310
5091,new scientist,physical review letters,310
5092,astronomische nachrichten,monthly notices of the royal astronomical society,310
5093,plant physiology,soil science society of america journal,310
5094,nanotechnology,science,310
5095,antiquity,journal of archaeological science,310
5096,bmc genomics,genome biology and evolution,310
5097,geophysical research letters,palaeogeography palaeoclimatology palaeoecology,310
5098,wired,wired,310
5099,genome res,j bacteriol,310
5100,palaeobiodiversity and palaeoenvironments,zoological journal of the linnean society,310
5101,zoological systematics,zootaxa,310
5102,genes  development,nature reviews molecular cell biology,309
5103,proteins,proteins,309
5104,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,vertebrata palasiatica,309
5105,immunity,j immunol,309
5106,cell,genome biol,309
5107,evolution and human behavior,journal of personality and social psychology,309
5108,developmental medicine  child neurology,developmental medicine  child neurology,309
5109,pnas,vaccine,309
5110,annals of human genetics,science,309
5111,nature,south african journal of science,309
5112,american journal of human genetics,scientific reports,309
5113,journal of mammalogy,molecular phylogenetics and evolution,309
5114,gene,mol biol cell,309
5115,european heart journal,journal of the american college of cardiology,309
5116,applied microbiology and biotechnology,nature,309
5117,animal cognition,science,309
5118,fems microbiology letters,pnas,309
5119,biochim biophys acta,nat genet,309
5120,physical review b,reviews of modern physics,309
5121,melody maker,nme,309
5122,science,the geographical journal,308
5123,naturwissenschaften,palaeontology,308
5124,pnas,science translational medicine,308
5125,j invest dermatol,pnas,308
5126,palaeontologia electronica,zookeys,308
5127,iawa journal,international journal of plant sciences,308
5128,archives of sexual behavior,personality and individual differences,308
5129,neuropsychopharmacology,psychopharmacology,308
5130,tetrahedron,tetrahedron lett,308
5131,nature,science translational medicine,308
5132,geology,palaios,308
5133,embo j,mol endocrinol,308
5134,br j cancer,journal of biological chemistry,307
5135,nan,nature,307
5136,journal of clinical oncology,nature,307
5137,bmj,tobacco control,307
5138,annalen der physik,physical review letters,307
5139,alcheringa an australasian journal of palaeontology,international journal of plant sciences,307
5140,american journal of physical anthropology,journal of human genetics,307
5141,geobios,papers in palaeontology,307
5142,forensic science international genetics,human genetics,307
5143,journal of personality and social psychology,perspectives on psychological science,307
5144,frontiers in immunology,journal of biological chemistry,307
5145,ibis,science,307
5146,biochem biophys res commun,dna res,307
5147,journal of paleontology,palaeontologia africana,307
5148,new zealand tv guide,new zealand tv guide,307
5149,nme,spin,307
5150,biochemistry,journal of immunology,307
5151,proceedings of the royal society b biological sciences,the american naturalist,306
5152,annual review of biochemistry,biochemistry,306
5153,evolution,systematic biology,306
5154,journal of biochemistry,pnas,306
5155,am j physiol,journal of biological chemistry,306
5156,cretaceous research,zeitschrift der arbeitsgemeinschaft der xd6sterreichischen entomologen,306
5157,pnas,trends biochem sci,306
5158,environ health perspect,environmental health perspectives,306
5159,evolution,journal of evolutionary biology,306
5160,applied and environmental microbiology,international journal of systematic and evolutionary microbiology,306
5161,alcheringa an australasian journal of palaeontology,bmc evolutionary biology,306
5162,lancet,social science  medicine,306
5163,geology,gondwana research,306
5164,comptes rendus palevol,quaternary science reviews,306
5165,chest,the new england journal of medicine,306
5166,macromolecules,macromolecules,306
5167,biochimica et biophysica acta,nature genetics,306
5168,comptes rendus palevol,quaternary international,306
5169,geoderma,plant and soil,305
5170,micropaleontology,paleontological journal,305
5171,cmaj,lancet,305
5172,geological journal,journal of paleontology,305
5173,journal of biological chemistry,plos pathogens,305
5174,biophys j,nature,305
5175,mutation research,nature,305
5176,boletxedn de la sociedad geolxf3gica mexicana,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,305
5177,ann neurol,neurology,305
5178,j clin endocrinol metab,nature,305
5179,experimental cell research,science,305
5180,evolution and human behavior,evolution and human behavior,305
5181,cretaceous research,entomological science,305
5182,american journal of physical anthropology,current anthropology,304
5183,pacific historical review,pacific historical review,304
5184,mycotaxon,persoonia,304
5185,molecular pharmacology,nature,304
5186,american journal of physiology lung cellular and molecular physiology,journal of biological chemistry,304
5187,human genetics,human molecular genetics,304
5188,human reproduction update,lancet,304
5189,hepatology,pnas,304
5190,biological psychiatry,molecular psychiatry,304
5191,gene,hum mol genet,304
5192,chemical communications,nature,304
5193,journal of biological chemistry,journal of the american society of nephrology,304
5194,journal of raptor research,the wilson bulletin,304
5195,marine mammal science,reports of the international whaling commission,304
5196,biochem biophys res commun,cytogenet cell genet,304
5197,geophysical research letters,journal of geophysical research planets,304
5198,munks roll u2013 lives of the fellows,munks roll u2013 lives of the fellows,304
5199,mamm genome,pnas,304
5200,international journal of plant sciences,palaeontologia electronica,304
5201,canadian journal of earth sciences,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,304
5202,molecular cell,nature communications,304
5203,electrophoresis,pnas,304
5204,bmc evolutionary biology,palaeogeography palaeoclimatology palaeoecology,304
5205,embo j,hum mol genet,304
5206,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,science advances,304
5207,contraception,fertil steril,304
5208,alcheringa an australasian journal of palaeontology,gondwana research,304
5209,current biology,vertebrata palasiatica,304
5210,journal of anatomy,journal of mammalian evolution,303
5211,cold spring harbor symposia on quantitative biology,science,303
5212,physical review letters,physics letters,303
5213,journal of the acoustical society of america,the journal of the acoustical society of america,303
5214,journal of medical genetics,nature genetics,303
5215,proceedings of the royal society b,zootaxa,303
5216,eur j hum genet,journal of biological chemistry,303
5217,biology letters,biology letters,303
5218,j cell sci,nat genet,303
5219,palaeontology,palaios,303
5220,cretaceous research,science bulletin,303
5221,molecular phylogenetics and evolution,peerj,303
5222,bioscience,ecology,303
5223,american economic review,econometrica,303
5224,archives of sexual behavior,the journal of sexual medicine,303
5225,embo reports,nucleic acids research,303
5226,the international history review,the slavonic and east european review,303
5227,cainozoic research,paleontological journal,303
5228,acta palaeontologica polonica,proceedings of the geologists association,303
5229,annual review of ecology evolution and systematics,science,303
5230,j neurol neurosurg psychiatry,neurology,302
5231,current biology,quaternary international,302
5232,annals of neurology,journal of biological chemistry,302
5233,annual review of immunology,journal of biological chemistry,302
5234,elife,historical biology an international journal of paleobiology,302
5235,the anatomical record,vertebrata palasiatica,302
5236,plos one,proc natl acad sci u s a,302
5237,organisms diversity  evolution,zootaxa,302
5238,blood,development,302
5239,lancet,the journal of clinical psychiatry,302
5240,acta entomologica musei nationalis pragae,zootaxa,302
5241,nature immunology,the journal of experimental medicine,302
5242,behavioral ecology,proceedings of the royal society b biological sciences,302
5243,psychoneuroendocrinology,psychoneuroendocrinology,302
5244,molecular biology and evolution,plos biology,302
5245,neuron,neuroscience,302
5246,journal of anatomy,proceedings of the royal society b biological sciences,301
5247,journal of systematic palaeontology,quaternary science reviews,301
5248,journal of biological chemistry,trends in genetics,301
5249,earth and planetary science letters,nature geoscience,301
5250,current biology,molecular phylogenetics and evolution,301
5251,paleobiology,paleobiology,301
5252,the journal of clinical investigation,the new england journal of medicine,301
5253,transactions of the british mycological society,transactions of the british mycological society,301
5254,endangered species research,marine mammal science,301
5255,brain and language,journal of cognitive neuroscience,301
5256,palaeoworld,royal society open science,301
5257,rna,the embo journal,301
5258,palaeontographica abteilung a,plos one,301
5259,journal of biological chemistry,pharmacol rev,301
5260,genes cells,pnas,301
5261,bmj,journal of the royal society of medicine,301
5262,historical biology an international journal of paleobiology,precambrian research,301
5263,animal behaviour,journal of zoology,301
5264,journal of the american society for mass spectrometry,rapid communications in mass spectrometry,300
5265,journal of personality and social psychology,social cognition,300
5266,nature,psychological bulletin,300
5267,british journal of haematology,journal of biological chemistry,300
5268,molecular phylogenetics and evolution,proceedings of the royal society b biological sciences,300
5269,acta palaeontologica polonica,acta palaeontologica sinica,300
5270,bioinformatics,bmc genomics,300
5271,astrophysical journal,publications of the astronomical society of the pacific,300
5272,eisenbahnrevue international,tenders electronic daily,300
5273,journal of anatomy,journal of systematic palaeontology,300
5274,nature genetics,plos biology,300
5275,behavioral ecology,evolution,300
5276,dna research,science,300
5277,biochimica et biophysica acta,journal of virology,300
5278,physical review,proceedings of the royal society a,300
5279,european urology,the journal of urology,300
5280,journal of clinical microbiology,journal of clinical microbiology,300
5281,u0641u0635u0644u0646u0627u0645u0647 u0647u0646u0631 art quarterly,u0641u0635u0644u0646u0627u0645u0647 u0647u0646u0631 art quarterly,300
5282,international journal of cancer,science,300
5283,chem phys lett,chem phys lett,300
5284,molecular biology of the cell,oncogene,300
5285,bulletin of the american mathematical society,bulletin of the american mathematical society,300
5286,emotion,journal of personality and social psychology,300
5287,journal of vision,vision research,300
5288,journal of personality and social psychology,personal relationships,300
5289,astrophysical journal,astrophysical journal letters,300
5290,journal of mammalian evolution,palz,299
5291,j appl phys,j chem phys,299
5292,insectes sociaux,science,299
5293,bmc genomics,nature biotechnology,299
5294,astrophysical journal,the astrophysical journal letters,299
5295,neuroreport,science,299
5296,behavioral ecology,plos one,299
5297,fossil imprint,historical biology an international journal of paleobiology,299
5298,phys rev b,science,299
5299,j exp med,nature,299
5300,genome res,hum genet,299
5301,molluscan research,zootaxa,299
5302,evolution international journal of organic evolution,nature,299
5303,magnetic resonance in medicine,magnetic resonance in medicine,299
5304,diabetes care,jama,299
5305,journal of power sources,journal of the electrochemical society,299
5306,biochem biophys res commun,j mol biol,299
5307,nature cell biology,plos one,298
5308,journal of human evolution,papers in palaeontology,298
5309,cell,international journal of cancer,298
5310,biological journal of the linnean society,journal of vertebrate paleontology,298
5311,nature biotechnology,nature reviews genetics,298
5312,neuroimage,trends in cognitive sciences,298
5313,journal of affective disorders,journal of affective disorders,298
5314,journal of virology,nature medicine,298
5315,new phytologist,soil biology and biochemistry,298
5316,nature,physics letters b,298
5317,cochrane database of systematic reviews,pediatrics,298
5318,evolution,heredity,298
5319,annals and magazine of natural history,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,298
5320,cretaceous research,revue de palxe9obiologie genxe8ve,298
5321,soap opera digest,soaps in depthabc soaps in depth,298
5322,nature,soil science society of america journal,298
5323,physical review letters,reports on progress in physics,298
5324,j proteome res,journal of biological chemistry,298
5325,political science quarterly,the journal of modern history,298
5326,gondwana research,science,298
5327,journal of african earth sciences,palaeontology,297
5328,annales zoologici,palaeoentomology,297
5329,antioxidants  redox signaling,journal of biological chemistry,297
5330,journal of morphology,palaeogeography palaeoclimatology palaeoecology,297
5331,game informer,official us playstation magazine,297
5332,alcheringa an australasian journal of palaeontology,palxe4ontologische zeitschrift,297
5333,nature,soil biology and biochemistry,297
5334,european journal of human genetics,genome research,297
5335,australian systematic botany,nuytsia,297
5336,geophysical research letters,nature communications,297
5337,meteoritics,meteoritics  planetary science,297
5338,american journal of physics,physical review,297
5339,acta palaeontologica polonica,journal of anatomy,297
5340,development,the journal of cell biology,297
5341,lab on a chip,sensors and actuators b chemical,297
5342,clinical infectious diseases,the lancet infectious diseases,297
5343,journal of african earth sciences,nature communications,297
5344,appl environ microbiol,pnas,297
5345,palaeoworld,palz,297
5346,mol pharmacol,pnas,297
5347,russian history,the american historical review,297
5348,chemical geology,earth and planetary science letters,296
5349,earth and environmental science transactions of the royal society of edinburgh,pnas,296
5350,arterioscler thromb vasc biol,journal of biological chemistry,296
5351,anesthesiology,british journal of anaesthesia,296
5352,international journal of molecular sciences,journal of biological chemistry,296
5353,united states naval institute,united states naval institute,296
5354,physical review letters,zeitschrift fxfcr physik,296
5355,molecular psychiatry,the journal of neuroscience,296
5356,the journal of urology,the journal of urology,296
5357,journal of the american chemical society,journal of the chemical society resumed,296
5358,expert opinion on pharmacotherapy,the cochrane database of systematic reviews,296
5359,journal of the national cancer institute,pnas,296
5360,global and planetary change,nature,296
5361,geophys res lett,geophysical research letters,296
5362,annual review of immunology,nature,296
5363,russian entomological journal,zookeys,296
5364,cold spring harbor perspectives in biology,journal of biological chemistry,296
5365,cretaceous research,geologica belgica,296
5366,acta palaeontologica polonica,revue de palxe9obiologie genxe8ve,296
5367,paleontological journal,swiss journal of palaeontology,296
5368,movement disorders,neurology,295
5369,entertainment weekly,spin,295
5370,current biology,palz,295
5371,american family physician,the new england journal of medicine,295
5372,journal of herpetology,zootaxa,295
5373,american journal of botany,palaeoworld,295
5374,oikos,pnas,295
5375,hormones and behavior,nature,295
5376,personality and individual differences,psychological science,295
5377,journal of biological chemistry,microbiology,295
5378,pacific marine review,pacific marine review,295
5379,cancer biology  therapy,journal of biological chemistry,295
5380,american museum novitates,bulletin of the american museum of natural history,295
5381,evolution,nature reviews genetics,295
5382,genome res,j virol,295
5383,journal of immunology,journal of leukocyte biology,295
5384,paleontological journal,the canadian entomologist,295
5385,animal behaviour,international journal of primatology,294
5386,forensic science international,molecular biology and evolution,294
5387,gsa bulletin,pnas,294
5388,journal of paleontology,quaternary science reviews,294
5389,palaeontology,zookeys,294
5390,chinese science bulletin,nature,294
5391,journal of biological chemistry,journal of molecular medicine,294
5392,alcheringa an australasian journal of palaeontology,journal of south american earth sciences,294
5393,annual review of ecology evolution and systematics,pnas,294
5394,mycological progress,mycotaxon,294
5395,biological psychiatry,the journal of neuroscience,294
5396,biologia,zootaxa,294
5397,palaeodiversity,plos one,294
5398,journal of biological chemistry,neurosci lett,294
5399,journal of micropalaeontology,journal of paleontology,294
5400,biological psychiatry,science,294
5401,indian j ophthalmol,oman j ophthalmol,294
5402,bmj,contraception,294
5403,journal of the geological society,pnas,294
5404,carcinogenesis,nature,294
5405,nature reviews molecular cell biology,the journal of cell biology,294
5406,environmental science  technology,pnas,294
5407,american journal of primatology,nature,293
5408,cochrane database syst rev,lancet,293
5409,angewandte chemie international edition,the journal of chemical physics,293
5410,lavori u2013 societxe0 veneziana di scienze naturali,paleontological journal,293
5411,biological psychiatry,the journal of clinical psychiatry,293
5412,journal of biological chemistry,molecular genetics and metabolism,293
5413,nature geoscience,paleontological journal,293
5414,nature communications,palaios,293
5415,behavioral and brain sciences,nature,293
5416,archives of general psychiatry,psychological medicine,293
5417,tetrahedron,the journal of organic chemistry,293
5418,flight international,les ailes,293
5419,circulation,the american journal of cardiology,293
5420,historical biology an international journal of paleobiology,journal of morphology,293
5421,lab on a chip,langmuir,293
5422,current opinion in chemical biology,pnas,293
5423,the journal of general virology,virology,293
5424,american journal of botany,south african journal of botany,293
5425,pnas,the journal of investigative dermatology,293
5426,annales de palxe9ontologie,zoological journal of the linnean society,293
5427,american economic review,the economic journal,293
5428,exp cell res,genome res,293
5429,copeia,nature,293
5430,brain,journal of biological chemistry,293
5431,bmj,the journal of clinical psychiatry,293
5432,science,the journal of general virology,292
5433,palz,zoological journal of the linnean society,292
5434,journal of lipid research,pnas,292
5435,pediatrics,the journal of pediatrics,292
5436,cancer research,febs letters,292
5437,journal of paleontology,naturwissenschaften,292
5438,nature,proceedings of the royal society,292
5439,am j hum genet,cell,292
5440,journal of glaciology,journal of glaciology,292
5441,european journal of pharmacology,neuropharmacology,292
5442,journal of affective disorders,the journal of clinical psychiatry,292
5443,cancer research,journal of immunology,292
5444,current biology,elife,292
5445,cdsadc collection of electronic catalogues,monthly notices of the royal astronomical society,292
5446,historical biology an international journal of paleobiology,rivista italiana di paleontologia e stratigrafia,292
5447,neuron,trends in neurosciences,292
5448,nature,the american journal of pathology,292
5449,deutsche entomologische zeitschrift,zootaxa,292
5450,anesthesia  analgesia,anesthesiology,292
5451,scientific reports,systematic biology,291
5452,animal behaviour,proceedings of the royal society b,291
5453,journal of cognitive neuroscience,science,291
5454,biochemistry,eur j biochem,291
5455,nature,proteins,291
5456,annual review of astronomy and astrophysics,nature,291
5457,analytical and bioanalytical chemistry,analytical chemistry,291
5458,nature,origins of life and evolution of biospheres,291
5459,annual review of biochemistry,biochimica et biophysica acta,291
5460,cancer res,j cell biol,291
5461,invest ophthalmol vis sci,journal of biological chemistry,291
5462,biological journal of the linnean society,scientific reports,291
5463,nature biotechnology,scientific reports,291
5464,evolutionary anthropology,nature,291
5465,j clin endocrinol metab,maturitas,291
5466,faseb j,nature,291
5467,eur j biochem,the biochemical journal,290
5468,current biology,journal of south american earth sciences,290
5469,inside soap,tv week soap extra,290
5470,journal of geophysical research solid earth,tectonophysics,290
5471,the moving picture world,the moving picture world,290
5472,maturitas,steroids,290
5473,american journal of public health,pediatrics,290
5474,earthscience reviews,geology,290
5475,canadian journal of earth sciences,palaeontologia electronica,290
5476,cretaceous research,micropaleontology,290
5477,plos one,rna,290
5478,journal of raptor research,studies in avian biology,290
5479,american journal of public health,new england journal of medicine,290
5480,paleontological journal,revista brasileira de paleontologia,290
5481,chemistry  biology,science,290
5482,communications biology,science,290
5483,nature ecology  evolution,zootaxa,290
5484,canadian journal of earth sciences,geology,290
5485,nature,neuroreport,289
5486,molluscan research,zookeys,289
5487,quaternary science reviews,royal society open science,289
5488,molecular biology and evolution,nature genetics,289
5489,cochrane database of systematic reviews,new england journal of medicine,289
5490,nature reviews cancer,oncogene,289
5491,journal of conchology,journal of molluscan studies,289
5492,paleontological journal,vestnik zoologii,289
5493,journal of structural biology,pnas,289
5494,paleontological research,peerj,289
5495,palaeontographica abteilung a,scientific reports,289
5496,nature communications,nature materials,289
5497,american journal of respiratory and critical care medicine,the new england journal of medicine,289
5498,journal of iberian geology,peerj,289
5499,archiv fxfcr naturgeschichte,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,289
5500,nature genetics,the journal of cell biology,289
5501,journal of biological chemistry,nat immunol,289
5502,current opinion in biotechnology,nature,289
5503,development,genomics,289
5504,current biology,nature cell biology,288
5505,laxe9ronautique,les ailes,288
5506,hypertension,journal of biological chemistry,288
5507,alcheringa an australasian journal of palaeontology,american museum novitates,288
5508,curr biol,oncogene,288
5509,annalen der physik,physical review,288
5510,astronomy and astrophysics supplement series,the astronomical journal,288
5511,doctor who magazine,doctor who poster magazine,288
5512,animal behaviour,journal of experimental biology,288
5513,revolutionary russia,slavic review,288
5514,j am chem soc,organometallics,288
5515,journal of experimental botany,nature,288
5516,american psychologist,science,288
5517,american journal of obstetrics and gynecology,contraception,288
5518,applied physics letters,nature materials,288
5519,journal of power sources,journal of power sources,288
5520,journal of biological chemistry,retrovirology,288
5521,nature,proceedings of the royal society of london b biological sciences,288
5522,paleobotanika,review of palaeobotany and palynology,288
5523,journal of south american earth sciences,palaeoworld,288
5524,genetica,pnas,288
5525,physical review letters,review of scientific instruments,288
5526,plos one,vertebrate anatomy morphology palaeontology,287
5527,organic letters,the journal of organic chemistry,287
5528,journal of biological chemistry,molecular medicine,287
5529,boletxedn oficial de la junta de defensa nacional de espaxf1a,gaceta de madrid,287
5530,hum genet,nat genet,287
5531,bahai studies review,bahxe1u02bcxed news,287
5532,journal of systematic palaeontology,palaeontographica abteilung a,287
5533,gastroenterology,the new england journal of medicine,287
5534,bioscience,plos one,287
5535,ann n y acad sci,pnas,287
5536,archives of sexual behavior,evolution and human behavior,287
5537,comptes rendus palevol,palaeoentomology,287
5538,nature reviews molecular cell biology,nucleic acids research,287
5539,alimentary pharmacology  therapeutics,gastroenterology,287
5540,acta palaeobotanica,cretaceous research,287
5541,condor,the auk,287
5542,advanced materials,physical review letters,287
5543,journal of cellular biochemistry,nature,287
5544,am j hum genet,hum genet,287
5545,mult scler,neurology,287
5546,schizophrenia bulletin,the cochrane database of systematic reviews,287
5547,human biology,nature,286
5548,international immunology,journal of biological chemistry,286
5549,journal of quaternary science,nature,286
5550,astrophysical journal letters,nature,286
5551,cell,mol endocrinol,286
5552,journal of biogeography,plos one,286
5553,bull amer math soc,proc natl acad sci u s a,286
5554,genomics,mol cell,286
5555,clinical cancer research,science,286
5556,bulletin de la socixe9txe9 gxe9ologique de france,journal of vertebrate paleontology,286
5557,gramophone,gramophone,286
5558,oecologia,plos one,286
5559,the economic history review,the slavonic and east european review,286
5560,the journal of cell biology,the journal of neuroscience,286
5561,animal behaviour,ecology,286
5562,cretaceous research,phytotaxa,286
5563,applied and environmental microbiology,environmental microbiology,286
5564,molecular and cellular biology,nature communications,286
5565,methods,nature,286
5566,drugs,lancet,286
5567,canadian journal of zoology,nature,286
5568,journal of south american earth sciences,vertebrata palasiatica,286
5569,astronomy and astrophysics,physical review letters,286
5570,american journal of science,proceedings of the american philosophical society,286
5571,genes  development,human molecular genetics,286
5572,journal of animal ecology,nature,286
5573,historical biology an international journal of paleobiology,revista brasileira de paleontologia,286
5574,molecular cell,nature reviews molecular cell biology,286
5575,archives of sexual behavior,journal of sex  marital therapy,286
5576,radiology,radiology,286
5577,journal of immunology,virology,286
5578,am j hum genet,hum mutat,285
5579,arthropod structure  development,zootaxa,285
5580,pharmacological reviews,pnas,285
5581,journal of biological chemistry,science signaling,285
5582,retrovirology,science,285
5583,journal of agricultural and food chemistry,nature,285
5584,climatic change,pnas,285
5585,bulletin of the american museum of natural history,pnas,285
5586,plos genetics,scientific reports,285
5587,archives of biochemistry and biophysics,nature,285
5588,archives of internal medicine,circulation,285
5589,animal behaviour,evolution and human behavior,285
5590,aids,lancet,285
5591,journal of molecular biology,nature genetics,285
5592,peerj,revista brasileira de paleontologia,285
5593,fossil imprint,journal of vertebrate paleontology,285
5594,journal of mammalian evolution,paleobiology,285
5595,nature ecology  evolution,palaeoworld,285
5596,human mutation,science,285
5597,diamond and related materials,physical review b,285
5598,international journal of plant sciences,journal of the botanical research institute of texas,285
5599,bollettino della societxe0 paleontologica italiana,journal of vertebrate paleontology,285
5600,frontiers in ecology and evolution,plos one,285
5601,nature methods,scientific reports,285
5602,palaeoworld,science advances,285
5603,child abuse  neglect,child abuse  neglect,284
5604,chemical physics letters,nature,284
5605,journal of the american chemical society,the journal of physical chemistry b,284
5606,nature reviews immunology,science,284
5607,geobios,geology,284
5608,biometrics,the american statistician,284
5609,ameghiniana,current biology,284
5610,international journal of molecular sciences,nature,284
5611,air international,flight international,284
5612,health affairs,jama,284
5613,ibis,molecular phylogenetics and evolution,284
5614,contraception,steroids,284
5615,annales de palxe9ontologie,pnas,284
5616,journal of hymenoptera research,zootaxa,284
5617,contraception,the cochrane database of systematic reviews,284
5618,gastroenterology,plos one,284
5619,clinical infectious diseases,pnas,284
5620,annals of eugenics,annals of eugenics,284
5621,evolution,trends in ecology  evolution,284
5622,j cell biol,the biochemical journal,284
5623,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,revue de palxe9obiologie genxe8ve,284
5624,archaeologia cantiana,archaeologia cantiana,284
5625,palaeogeography palaeoclimatology palaeoecology,palaeontologia africana,284
5626,chemical  engineering news,nature,284
5627,proceedings of the royal society b,proceedings of the royal society b,284
5628,journal of conchology,zookeys,284
5629,scottish historical review,the innes review,284
5630,biochemistry,nature genetics,284
5631,tv guide,tv guide,284
5632,chemical physics letters,science,284
5633,genome research,trends in genetics,283
5634,journal of the american college of cardiology,the cochrane database of systematic reviews,283
5635,journal of south american earth sciences,nature ecology  evolution,283
5636,journal of asian earth sciences,journal of vertebrate paleontology,283
5637,frontiers in ecology and evolution,peerj,283
5638,european journal of taxonomy,zookeys,283
5639,annals of internal medicine,n engl j med,283
5640,gut,pnas,283
5641,annals of the new york academy of sciences,cell,283
5642,journal of comparative psychology,science,283
5643,annals of carnegie museum,cretaceous research,283
5644,cretaceous research,euroasian entomological journal,283
5645,current directions in psychological science,psychological bulletin,283
5646,gondwana research,zoological journal of the linnean society,283
5647,pnas,proteomics,283
5648,conservation biology,conservation biology,283
5649,journal of systematic palaeontology,naturwissenschaften,283
5650,pain,pain,283
5651,annals of the entomological society of america,journal of economic entomology,283
5652,pnas,psychological bulletin,283
5653,chemical society reviews,nature,283
5654,nature reviews genetics,trends in genetics,282
5655,int j cancer,nature,282
5656,analytical chemistry,angewandte chemie international edition,282
5657,forensic science international,human biology,282
5658,australasian palaeontological memoirs,zootaxa,282
5659,cancer lett,journal of biological chemistry,282
5660,communications biology,gigascience,282
5661,am j obstet gynecol,j clin endocrinol metab,282
5662,genome res,int j cancer,282
5663,new phytologist,review of palaeobotany and palynology,282
5664,biochemistry,molecular cell,282
5665,journal of neurology,neurology,282
5666,journal of mammalian evolution,palaeoworld,282
5667,cretaceous research,the coleopterists bulletin,282
5668,j cell sci,mol biol cell,282
5669,american museum novitates,nature communications,282
5670,nature ecology  evolution,precambrian research,282
5671,microbiological reviews,nature,282
5672,journal of personality and social psychology,nature,282
5673,review of scientific instruments,review of scientific instruments,282
5674,biochim biophys acta,eur j biochem,282
5675,nucleic acids res,tetrahedron lett,282
5676,entertainment weekly,nme,282
5677,animal behaviour,journal of evolutionary biology,282
5678,blood,febs letters,281
5679,cell,nature reviews neuroscience,281
5680,acta geologica polonica,scientific reports,281
5681,analytical chemistry,langmuir,281
5682,genes,pnas,281
5683,alcheringa an australasian journal of palaeontology,geodiversitas,281
5684,palz,science advances,281
5685,current biology,molecular ecology,281
5686,quaternary international,zoological journal of the linnean society,281
5687,historical biology an international journal of paleobiology,palaeontographica abteilung a,281
5688,european journal of personality,personality and individual differences,281
5689,cell,endocrinology,281
5690,publications of the astronomical society of the pacific,science,281
5691,cretaceous research,proceedings of the entomological society of washington,281
5692,neuropharmacology,the journal of pharmacology and experimental therapeutics,281
5693,journal of the american chemical society,synthesis,281
5694,cell,faseb journal,281
5695,developmental biology,developmental biology,281
5696,biochimie,science,281
5697,gene,journal of immunology,281
5698,journal of clinical investigation,nature,281
5699,astrophysics and space science,monthly notices of the royal astronomical society,281
5700,sleep,sleep medicine reviews,281
5701,plos biology,scientific reports,281
5702,geochimica et cosmochimica acta,space science reviews,280
5703,annals of human biology,plos one,280
5704,cytogenet cell genet,mol cell biol,280
5705,gastroenterology,science,280
5706,british journal of cancer,pnas,280
5707,blood,j exp med,280
5708,applied physics letters,japanese journal of applied physics,280
5709,genome res,protein sci,280
5710,fems microbiology reviews,science,280
